Bevölkerung am 1.1.2019 nach Gemeinden (Gebietsstand 1.1.2019);;;;;;;;
Bundesland;Gemeinde-kennziffer (GKZ);Gemeindename;Status;"Bevölkerung am 1.1.2019";;;;
Burgenland;10101;Eisenstadt;SR;14.637;;;;
Burgenland;10201;Rust;SR;1.940;;;;
Burgenland;10301;Breitenbrunn am Neusiedler See;M;1.910;;;;
Burgenland;10302;Donnerskirchen;M;1.822;;;;
Burgenland;10303;Großhöflein;M;2.080;;;;
Burgenland;10304;Hornstein;M;3.091;;;;
Burgenland;10305;Klingenbach;;1.153;;;;
Burgenland;10306;Leithaprodersdorf;;1.198;;;;
Burgenland;10307;Mörbisch am See;;2.244;;;;
Burgenland;10308;Müllendorf;;1.394;;;;
Burgenland;10309;Neufeld an der Leitha;ST;3.451;;;;
Burgenland;10310;Oggau am Neusiedler See;M;1.748;;;;
Burgenland;10311;Oslip;;1.262;;;;
Burgenland;10312;Purbach am Neusiedler See;ST;2.912;;;;
Burgenland;10313;Sankt Margarethen im Burgenland;M;2.650;;;;
Burgenland;10314;Schützen am Gebirge;;1.365;;;;
Burgenland;10315;Siegendorf;M;3.027;;;;
Burgenland;10316;Steinbrunn;M;2.671;;;;
Burgenland;10317;Trausdorf an der Wulka;;2.091;;;;
Burgenland;10318;Wimpassing an der Leitha;;1.594;;;;
Burgenland;10319;Wulkaprodersdorf;M;1.966;;;;
Burgenland;10320;Loretto;M;475;;;;
Burgenland;10321;Stotzing;;834;;;;
Burgenland;10322;Zillingtal;;939;;;;
Burgenland;10323;Zagersdorf;;1.050;;;;
Burgenland;10401;Bocksdorf;;801;;;;
Burgenland;10402;Burgauberg-Neudauberg;;1.339;;;;
Burgenland;10403;Eberau;M;917;;;;
Burgenland;10404;Gerersdorf-Sulz;;1.016;;;;
Burgenland;10405;Güssing;ST;3.686;;;;
Burgenland;10406;Güttenbach;M;880;;;;
Burgenland;10407;Heiligenbrunn;;739;;;;
Burgenland;10408;Kukmirn;M;1.994;;;;
Burgenland;10409;Neuberg im Burgenland;;983;;;;
Burgenland;10410;Neustift bei Güssing;;473;;;;
Burgenland;10411;Olbendorf;;1.436;;;;
Burgenland;10412;Ollersdorf im Burgenland;M;933;;;;
Burgenland;10413;Sankt Michael im Burgenland;M;967;;;;
Burgenland;10414;Stegersbach;M;2.671;;;;
Burgenland;10415;Stinatz;M;1.228;;;;
Burgenland;10416;Strem;M;898;;;;
Burgenland;10417;Tobaj;;1.366;;;;
Burgenland;10418;Hackerberg;;355;;;;
Burgenland;10419;Wörterberg;;487;;;;
Burgenland;10420;Großmürbisch;;240;;;;
Burgenland;10421;Inzenhof;;335;;;;
Burgenland;10422;Kleinmürbisch;;220;;;;
Burgenland;10423;Tschanigraben;;65;;;;
Burgenland;10424;Heugraben;;218;;;;
Burgenland;10425;Rohr im Burgenland;;377;;;;
Burgenland;10426;Bildein;;336;;;;
Burgenland;10427;Rauchwart;;440;;;;
Burgenland;10428;Moschendorf;;397;;;;
Burgenland;10501;Deutsch Kaltenbrunn;M;1.746;;;;
Burgenland;10502;Eltendorf;;942;;;;
Burgenland;10503;Heiligenkreuz im Lafnitztal;M;1.215;;;;
Burgenland;10504;Jennersdorf;ST;4.105;;;;
Burgenland;10505;Minihof-Liebau;M;1.040;;;;
Burgenland;10506;Mogersdorf;M;1.142;;;;
Burgenland;10507;Neuhaus am Klausenbach;M;912;;;;
Burgenland;10508;Rudersdorf;M;2.156;;;;
Burgenland;10509;Sankt Martin an der Raab;M;1.977;;;;
Burgenland;10510;Weichselbaum;;716;;;;
Burgenland;10511;Königsdorf;;718;;;;
Burgenland;10512;Mühlgraben;;397;;;;
Burgenland;10601;Draßburg;;1.224;;;;
Burgenland;10602;Forchtenstein;;2.779;;;;
Burgenland;10603;Hirm;;1.023;;;;
Burgenland;10604;Loipersbach im Burgenland;;1.226;;;;
Burgenland;10605;Marz;;2.044;;;;
Burgenland;10606;Mattersburg;ST;7.431;;;;
Burgenland;10607;Neudörfl;M;4.551;;;;
Burgenland;10608;Pöttelsdorf;;745;;;;
Burgenland;10609;Pöttsching;M;2.965;;;;
Burgenland;10610;Rohrbach bei Mattersburg;M;2.672;;;;
Burgenland;10611;Bad Sauerbrunn;;2.226;;;;
Burgenland;10612;Schattendorf;M;2.395;;;;
Burgenland;10613;Sieggraben;;1.241;;;;
Burgenland;10614;Sigleß;;1.174;;;;
Burgenland;10615;Wiesen;M;2.681;;;;
Burgenland;10616;Antau;;757;;;;
Burgenland;10617;Baumgarten;;873;;;;
Burgenland;10618;Zemendorf-Stöttera;;1.275;;;;
Burgenland;10619;Krensdorf;;643;;;;
Burgenland;10701;Andau;M;2.262;;;;
Burgenland;10702;Apetlon;M;1.755;;;;
Burgenland;10703;Bruckneudorf;;3.124;;;;
Burgenland;10704;Deutsch Jahrndorf;;605;;;;
Burgenland;10705;Frauenkirchen;ST;2.859;;;;
Burgenland;10706;Gattendorf;;1.338;;;;
Burgenland;10707;Gols;M;3.864;;;;
Burgenland;10708;Halbturn;;1.922;;;;
Burgenland;10709;Illmitz;M;2.369;;;;
Burgenland;10710;Jois;M;1.635;;;;
Burgenland;10711;Kittsee;M;3.250;;;;
Burgenland;10712;Mönchhof;;2.227;;;;
Burgenland;10713;Neusiedl am See;ST;8.409;;;;
Burgenland;10714;Nickelsdorf;;1.808;;;;
Burgenland;10715;Pama;;1.219;;;;
Burgenland;10716;Pamhagen;;1.592;;;;
Burgenland;10717;Parndorf;;4.807;;;;
Burgenland;10718;Podersdorf am See;M;2.126;;;;
Burgenland;10719;Sankt Andrä am Zicksee;M;1.386;;;;
Burgenland;10720;Tadten;;1.189;;;;
Burgenland;10721;Wallern im Burgenland;M;1.684;;;;
Burgenland;10722;Weiden am See;M;2.460;;;;
Burgenland;10723;Winden am See;;1.322;;;;
Burgenland;10724;Zurndorf;M;2.259;;;;
Burgenland;10725;Neudorf;;717;;;;
Burgenland;10726;Potzneusiedl;;605;;;;
Burgenland;10727;Edelstal;;759;;;;
Burgenland;10801;Deutschkreutz;M;3.066;;;;
Burgenland;10802;Draßmarkt;M;1.378;;;;
Burgenland;10803;Frankenau-Unterpullendorf;;1.104;;;;
Burgenland;10804;Großwarasdorf;;1.386;;;;
Burgenland;10805;Horitschon;M;1.828;;;;
Burgenland;10806;Kaisersdorf;;613;;;;
Burgenland;10807;Kobersdorf;M;1.870;;;;
Burgenland;10808;Lackenbach;M;1.142;;;;
Burgenland;10809;Lockenhaus;M;2.044;;;;
Burgenland;10810;Lutzmannsburg;M;875;;;;
Burgenland;10811;Mannersdorf an der Rabnitz;;1.808;;;;
Burgenland;10812;Markt Sankt Martin;M;1.221;;;;
Burgenland;10813;Neckenmarkt;M;1.685;;;;
Burgenland;10814;Neutal;;1.112;;;;
Burgenland;10815;Nikitsch;;1.363;;;;
Burgenland;10816;Oberpullendorf;ST;3.189;;;;
Burgenland;10817;Pilgersdorf;;1.645;;;;
Burgenland;10818;Piringsdorf;;842;;;;
Burgenland;10819;Raiding;M;881;;;;
Burgenland;10820;Ritzing;;899;;;;
Burgenland;10821;Steinberg-Dörfl;M;1.285;;;;
Burgenland;10822;Stoob;M;1.395;;;;
Burgenland;10823;Weppersdorf;M;1.822;;;;
Burgenland;10824;Lackendorf;;601;;;;
Burgenland;10825;Unterfrauenhaid;M;657;;;;
Burgenland;10826;Unterrabnitz-Schwendgraben;;647;;;;
Burgenland;10827;Weingraben;;362;;;;
Burgenland;10828;Oberloisdorf;;793;;;;
Burgenland;10901;Bad Tatzmannsdorf;;1.588;;;;
Burgenland;10902;Bernstein;M;2.109;;;;
Burgenland;10903;Deutsch Schützen-Eisenberg;;1.114;;;;
Burgenland;10904;Grafenschachen;;1.241;;;;
Burgenland;10905;Großpetersdorf;M;3.538;;;;
Burgenland;10906;Hannersdorf;;746;;;;
Burgenland;10907;Kemeten;;1.506;;;;
Burgenland;10908;Kohfidisch;M;1.426;;;;
Burgenland;10909;Litzelsdorf;M;1.172;;;;
Burgenland;10910;Loipersdorf-Kitzladen;;1.312;;;;
Burgenland;10911;Mariasdorf;M;1.150;;;;
Burgenland;10912;Markt Allhau;M;1.847;;;;
Burgenland;10913;Markt Neuhodis;M;654;;;;
Burgenland;10914;Mischendorf;;1.558;;;;
Burgenland;10915;Oberdorf im Burgenland;;994;;;;
Burgenland;10916;Oberschützen;;2.396;;;;
Burgenland;10917;Oberwart;ST;7.623;;;;
Burgenland;10918;Pinkafeld;ST;5.823;;;;
Burgenland;10919;Rechnitz;M;3.010;;;;
Burgenland;10920;Riedlingsdorf;M;1.639;;;;
Burgenland;10921;Rotenturm an der Pinka;M;1.420;;;;
Burgenland;10922;Schachendorf;;752;;;;
Burgenland;10923;Stadtschlaining;ST;1.986;;;;
Burgenland;10924;Unterkohlstätten;;1.004;;;;
Burgenland;10925;Unterwart;;968;;;;
Burgenland;10926;Weiden bei Rechnitz;;827;;;;
Burgenland;10927;Wiesfleck;;1.153;;;;
Burgenland;10928;Wolfau;M;1.428;;;;
Burgenland;10929;Neustift an der Lafnitz;M;794;;;;
Burgenland;10930;Jabing;;732;;;;
Burgenland;10931;Badersdorf;;292;;;;
Burgenland;10932;Schandorf;;274;;;;
Kärnten;20101;Klagenfurt am Wörthersee;SR;100.817;;;;
Kärnten;20201;Villach;SR;62.243;;;;
Kärnten;20302;Dellach;;1.233;;;;
Kärnten;20305;Hermagor-Pressegger See;ST;6.889;;;;
Kärnten;20306;Kirchbach;M;2.574;;;;
Kärnten;20307;Kötschach-Mauthen;M;3.359;;;;
Kärnten;20316;St. Stefan im Gailtal;;1.604;;;;
Kärnten;20320;Gitschtal;;1.246;;;;
Kärnten;20321;Lesachtal;;1.319;;;;
Kärnten;20402;Ebenthal in Kärnten;M;8.005;;;;
Kärnten;20403;Feistritz im Rosental;M;2.498;;;;
Kärnten;20405;Ferlach;ST;7.105;;;;
Kärnten;20409;Grafenstein;M;2.918;;;;
Kärnten;20412;Keutschach am See;;2.445;;;;
Kärnten;20414;Köttmannsdorf;;3.052;;;;
