[FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key]
,,,Albania,2020-04-03 22:46:20,41.1533,20.1683,304,17,89,198,Albania
,,,Andorra,2020-04-03 22:46:20,42.5063,1.5218,439,16,16,407,Andorra
,,,Austria,2020-04-03 22:46:20,47.5162,14.5501,11524,168,2022,9334,Austria
,,,Belarus,2020-04-03 22:46:20,53.7098,27.9534,351,4,53,294,Belarus
,,,Belgium,2020-04-03 22:46:20,50.8333,4.469936,16770,1143,2872,12755,Belgium
,,,Bosnia and Herzegovina,2020-04-03 22:46:20,43.9159,17.6791,579,17,27,535,Bosnia and Herzegovina
,,,Bulgaria,2020-04-03 22:46:20,42.7339,25.4858,485,14,30,441,Bulgaria
,,,Croatia,2020-04-03 22:46:20,45.1,15.2,1079,8,92,979,Croatia
,,,Cyprus,2020-04-03 22:46:20,35.1264,33.4299,396,11,28,357,Cyprus
,,,Denmark,2020-04-03 22:46:20,56.2639,9.5018,3757,139,1193,2425,Denmark
,,,Estonia,2020-04-03 22:46:20,58.5953,25.0136,961,12,48,901,Estonia
,,,Finland,2020-04-03 22:46:20,61.92411,25.748151,1615,20,300,1295,Finland
,,,France,2020-04-03 22:46:20,46.2276,2.2137,64338,6507,14008,43823,France
,,,Germany,2020-04-03 22:46:20,51.165690999999995,10.451526,91159,1275,24575,65309,Germany
,,,Greece,2020-04-03 22:46:20,39.0742,21.8243,1613,63,78,1472,Greece
,,,Hungary,2020-04-03 22:46:20,47.1625,19.5033,623,26,43,554,Hungary
,,,Iceland,2020-04-03 22:46:20,64.9631,-19.0208,1364,4,309,1051,Iceland
,,,Ireland,2020-04-03 22:46:20,53.1424,-7.6921,4273,120,5,4148,Ireland
,,,Italy,2020-04-03 22:46:20,41.87194,12.56738,119827,14681,19758,85388,Italy
,,,Latvia,2020-04-03 22:46:20,56.8796,24.6032,493,1,1,491,Latvia
,,,Liechtenstein,2020-04-03 22:46:20,47.14,9.55,75,0,0,75,Liechtenstein
,,,Lithuania,2020-04-03 22:46:20,55.1694,23.8813,696,9,7,680,Lithuania
,,,Luxembourg,2020-04-03 22:46:20,49.8153,6.1296,2612,31,500,2081,Luxembourg
,,,Malta,2020-04-03 22:46:20,35.9375,14.3754,202,0,2,200,Malta
,,,Moldova,2020-04-03 22:46:20,47.4116,28.3699,591,8,26,557,Moldova
,,,Monaco,2020-04-03 22:46:20,43.7333,7.4167,64,1,3,60,Monaco
,,,Montenegro,2020-04-03 22:46:20,42.708678000000006,19.37439,174,2,1,171,Montenegro
,,,Netherlands,2020-04-03 22:46:20,52.1326,5.2913,15723,1487,250,13986,Netherlands
,,,North Macedonia,2020-04-03 22:46:20,41.6086,21.7453,430,12,20,398,North Macedonia
,,,Norway,2020-04-03 22:46:20,60.472,8.4689,5370,59,32,5279,Norway
,,,Poland,2020-04-03 22:46:20,51.9194,19.1451,3383,71,56,3256,Poland
,,,Portugal,2020-04-03 22:46:20,39.3999,-8.2245,9886,246,68,9572,Portugal
,,,Romania,2020-04-03 22:46:20,45.9432,24.9668,3183,133,283,2767,Romania
,,,Russia,2020-04-03 22:46:20,61.52401,105.31875600000001,4149,34,281,3834,Russia
,,,San Marino,2020-04-03 22:46:20,43.9424,12.4578,245,30,21,194,San Marino
,,,Serbia,2020-04-03 22:46:20,44.0165,21.0059,1476,39,0,1437,Serbia
,,,Slovakia,2020-04-03 22:46:20,48.669,19.699,450,1,10,439,Slovakia
,,,Slovenia,2020-04-03 22:46:20,46.1512,14.9955,934,20,70,844,Slovenia
,,,Spain,2020-04-03 22:46:20,40.463667,-3.7492199999999998,119199,11198,30513,77488,Spain
,,,Sweden,2020-04-03 22:46:20,60.128161,18.643501,6131,358,205,5568,Sweden
,,,Switzerland,2020-04-03 22:46:20,46.8182,8.2275,19606,591,4846,14169,Switzerland
,,,Turkey,2020-04-03 22:46:20,38.9637,35.2433,20921,425,484,20012,Turkey
,,,Ukraine,2020-04-03 22:46:20,48.3794,31.1656,1072,27,22,1023,Ukraine
,,,United Kingdom,2020-04-03 22:46:20,55.3781,-3.4360000000000004,38168,3605,135,34428,United Kingdom
