Country_Region,Confirmed,Deaths,Lat,Long_,geometry,text
Albania,333,20,41.1533,20.1683,POINT (20.1683 41.1533),Confirmed : 333 City: Albania
Andorra,466,17,42.5063,1.5218,POINT (1.5218 42.5063),Confirmed : 466 City: Andorra
Austria,11781,186,47.5162,14.5501,POINT (14.5501 47.5162),Confirmed : 11781 City: Austria
Belarus,440,5,53.7098,27.9534,POINT (27.9534 53.7098),Confirmed : 440 City: Belarus
Belgium,18431,1283,50.8333,4.469936,POINT (4.469936 50.8333),Confirmed : 18431 City: Belgium
Bosnia and Herzegovina,624,21,43.9159,17.6791,POINT (17.6791 43.9159),Confirmed : 624 City: Bosnia and Herzegovina
Bulgaria,503,17,42.7339,25.4858,POINT (25.4858 42.7339),Confirmed : 503 City: Bulgaria
Croatia,1126,12,45.1,15.2,POINT (15.2 45.1),Confirmed : 1126 City: Croatia
Cyprus,426,11,35.1264,33.4299,POINT (33.4299 35.1264),Confirmed : 426 City: Cyprus
Denmark,4077,161,56.2639,9.5018,POINT (9.501799999999999 56.2639),Confirmed : 4077 City: Denmark
Estonia,1039,13,58.5953,25.0136,POINT (25.0136 58.5953),Confirmed : 1039 City: Estonia
Finland,1882,25,61.92411,25.748151,POINT (25.748151 61.92411),Confirmed : 1882 City: Finland
France,89953,7560,46.2276,2.2137,POINT (2.2137 46.2276),Confirmed : 89953 City: France
Germany,96092,1444,51.165691,10.451526,POINT (10.451526 51.165691),Confirmed : 96092 City: Germany
Greece,1673,68,39.0742,21.8243,POINT (21.8243 39.0742),Confirmed : 1673 City: Greece
Hungary,678,32,47.1625,19.5033,POINT (19.5033 47.1625),Confirmed : 678 City: Hungary
Iceland,1417,4,64.9631,-19.0208,POINT (-19.0208 64.9631),Confirmed : 1417 City: Iceland
Ireland,4604,137,53.1424,-7.6921,POINT (-7.6921 53.1424),Confirmed : 4604 City: Ireland
Italy,124632,15362,41.87194,12.56738,POINT (12.56738 41.87194),Confirmed : 124632 City: Italy
Latvia,509,1,56.8796,24.6032,POINT (24.6032 56.8796),Confirmed : 509 City: Latvia
Liechtenstein,77,1,47.14,9.55,POINT (9.550000000000001 47.14),Confirmed : 77 City: Liechtenstein
Lithuania,771,11,55.1694,23.8813,POINT (23.8813 55.1694),Confirmed : 771 City: Lithuania
Luxembourg,2729,31,49.8153,6.1296,POINT (6.1296 49.8153),Confirmed : 2729 City: Luxembourg
Malta,213,0,35.9375,14.3754,POINT (14.3754 35.9375),Confirmed : 213 City: Malta
Moldova,752,12,47.4116,28.3699,POINT (28.3699 47.4116),Confirmed : 752 City: Moldova
Monaco,66,1,43.7333,7.4167,POINT (7.4167 43.7333),Confirmed : 66 City: Monaco
Montenegro,201,2,42.708678000000006,19.37439,POINT (19.37439 42.70867800000001),Confirmed : 201 City: Montenegro
Netherlands,16627,1651,52.1326,5.2913,POINT (5.2913 52.1326),Confirmed : 16627 City: Netherlands
North Macedonia,483,17,41.6086,21.7453,POINT (21.7453 41.6086),Confirmed : 483 City: North Macedonia
Norway,5550,62,60.472,8.4689,POINT (8.4689 60.472),Confirmed : 5550 City: Norway
Poland,3627,79,51.9194,19.1451,POINT (19.1451 51.9194),Confirmed : 3627 City: Poland
Portugal,10524,266,39.3999,-8.2245,POINT (-8.224500000000001 39.3999),Confirmed : 10524 City: Portugal
Romania,3613,146,45.9432,24.9668,POINT (24.9668 45.9432),Confirmed : 3613 City: Romania
Russia,4731,43,61.52401,105.318756,POINT (105.318756 61.52401),Confirmed : 4731 City: Russia
San Marino,259,32,43.9424,12.4578,POINT (12.4578 43.9424),Confirmed : 259 City: San Marino
Serbia,1624,44,44.0165,21.0059,POINT (21.0059 44.0165),Confirmed : 1624 City: Serbia
Slovakia,471,1,48.669,19.699,POINT (19.699 48.669),Confirmed : 471 City: Slovakia
Slovenia,977,22,46.1512,14.9955,POINT (14.9955 46.1512),Confirmed : 977 City: Slovenia
Spain,126168,11947,40.463667,-3.74922,POINT (-3.74922 40.463667),Confirmed : 126168 City: Spain
Sweden,6443,373,60.128161,18.643501,POINT (18.643501 60.128161),Confirmed : 6443 City: Sweden
Switzerland,20505,666,46.8182,8.2275,POINT (8.227499999999999 46.8182),Confirmed : 20505 City: Switzerland
Turkey,23934,501,38.9637,35.2433,POINT (35.2433 38.9637),Confirmed : 23934 City: Turkey
Ukraine,1225,32,48.3794,31.1656,POINT (31.1656 48.3794),Confirmed : 1225 City: Ukraine
United Kingdom,41903,4313,55.3781,-3.4360000000000004,POINT (-3.436 55.3781),Confirmed : 41903 City: United Kingdom
