Country_Region,Confirmed,Deaths
Afghanistan,299,7
Albania,333,20
Algeria,1251,130
Andorra,466,17
Angola,10,2
Antigua and Barbuda,15,0
Argentina,1451,43
Armenia,770,7
Australia,5550,30
Austria,11781,186
Azerbaijan,521,5
Bahamas,28,4
Bahrain,688,4
Bangladesh,70,8
Barbados,52,0
Belarus,440,5
Belgium,18431,1283
Belize,4,0
Benin,16,0
Bhutan,5,0
Bolivia,139,10
Bosnia and Herzegovina,624,21
Botswana,4,1
Brazil,10360,445
Brunei,135,1
Bulgaria,503,17
Burkina Faso,318,16
Burma,21,1
Burundi,3,0
Cabo Verde,7,1
Cambodia,114,0
Cameroon,555,9
Canada,12978,218
Central African Republic,8,0
Chad,9,0
Chile,4161,27
China,82543,3330
Colombia,1406,32
Congo (Brazzaville),22,2
Congo (Kinshasa),154,18
Costa Rica,435,2
Cote d'Ivoire,245,1
Croatia,1126,12
Cuba,288,6
Cyprus,426,11
Czechia,4472,59
Denmark,4269,161
Diamond Princess,712,11
Djibouti,50,0
Dominica,14,0
Dominican Republic,1488,68
Ecuador,3465,172
Egypt,1070,71
El Salvador,56,3
Equatorial Guinea,16,0
Eritrea,29,0
Estonia,1039,13
Eswatini,9,0
Ethiopia,38,0
Fiji,12,0
Finland,1882,25
France,90848,7574
Gabon,21,1
Gambia,4,1
Georgia,162,1
Germany,96092,1444
Ghana,205,5
Greece,1673,68
Grenada,12,0
Guatemala,61,2
Guinea,111,0
Guinea-Bissau,18,0
Guyana,23,4
Haiti,20,0
Holy See,7,0
Honduras,264,15
Hungary,678,32
Iceland,1417,4
India,3082,86
Indonesia,2092,191
Iran,55743,3452
Iraq,878,56
Ireland,4604,137
Israel,7851,44
Italy,124632,15362
Jamaica,53,3
Japan,3139,77
Jordan,323,5
Kazakhstan,531,5
Kenya,126,4
"Korea, South",10156,177
Kosovo,135,1
Kuwait,479,1
Kyrgyzstan,144,1
Laos,10,0
Latvia,509,1
Lebanon,520,17
Liberia,10,1
Libya,18,1
Liechtenstein,77,1
Lithuania,771,11
Luxembourg,2729,31
MS Zaandam,9,2
Madagascar,70,0
Malawi,4,0
Malaysia,3483,57
Maldives,19,0
Mali,41,3
Malta,213,0
Mauritania,6,1
Mauritius,196,7
Mexico,1688,60
Moldova,752,12
Monaco,66,1
Mongolia,14,0
Montenegro,201,2
Morocco,919,59
Mozambique,10,0
Namibia,14,0
Nepal,9,0
Netherlands,16727,1656
New Zealand,950,1
Nicaragua,5,1
Niger,144,8
Nigeria,214,4
North Macedonia,483,17
Norway,5550,62
Oman,277,2
Pakistan,2818,41
Panama,1673,41
Papua New Guinea,1,0
Paraguay,96,3
Peru,1746,73
Philippines,3094,144
Poland,3627,79
Portugal,10524,266
Qatar,1325,3
Romania,3613,146
Russia,4731,43
Rwanda,102,0
Saint Kitts and Nevis,9,0
Saint Lucia,14,0
Saint Vincent and the Grenadines,7,0
San Marino,259,32
Saudi Arabia,2179,29
Senegal,219,2
Serbia,1624,44
Seychelles,10,0
Sierra Leone,4,0
Singapore,1189,6
Slovakia,471,1
Slovenia,977,22
Somalia,7,0
South Africa,1585,9
Spain,126168,11947
Sri Lanka,166,5
Sudan,10,2
Suriname,10,1
Sweden,6443,373
Switzerland,20505,666
Syria,16,2
Taiwan*,355,5
Tanzania,20,1
Thailand,2067,20
Timor-Leste,1,0
Togo,41,3
Trinidad and Tobago,103,6
Tunisia,553,18
Turkey,23934,501
US,308850,8407
Uganda,48,0
Ukraine,1225,32
United Arab Emirates,1505,10
United Kingdom,42477,4320
Uruguay,400,5
Uzbekistan,266,2
Venezuela,155,7
Vietnam,240,0
West Bank and Gaza,217,1
Zambia,39,1
Zimbabwe,9,1
